timestamp,block_to_pick,stock_to_pick,color_to_pick,shape_to_pick
0,213.6379741293371,209.06481822709804,184.5166940899503,167.87973198811633
15,213.965917755692,208.7862922504513,184.7063208153451,168.82579251066085
33,215.19281133202452,210.19186311428302,185.9820606447439,169.76566616680356
51,213.83703998664578,207.92529313394735,184.4121894791091,169.49101513387413
66,217.97132853998627,211.0133498187747,188.3457744024178,174.42353938339872
84,217.50413109092287,208.85982718815993,187.53555837908286,175.83678348299975
99,219.67052907478973,210.24267644182368,189.5653527170565,178.6948628237926
114,220.30797676068423,212.19850993254246,190.45962930003088,177.82912736173114
130,223.84824735813837,216.61923863263348,194.19905772589155,180.14408427846047
147,302.3030585079197,289.56992128349617,272.1929046783745,258.5542001664722
164,233.96462896757848,103.86334130726821,217.73005409453606,164.06123646397737
178,233.9702792860357,103.79791709635013,217.74418427940762,164.06280142509894
437,622.2450581817637,590.6701380763292,590.6701380763292,590.6701380763292
633,213.2948750811,196.2539107271227,182.06841844350453,181.6941628049812
745,234.2056260199936,104.0837840572015,217.95107399921085,164.31058441254095
794,167.1320467791154,-55.24785109083069,166.418815575836,103.08548224250262
811,135.66857464623985,-95.81491421790193,125.85175244876476,62.518419115431385
831,79.98442145869755,-127.40294075506816,79.90294075506816,16.569607421734787
843,82.9031889105554,-130.09797011951986,82.59797011951986,19.264636786186486
861,122.45304201392523,-108.01878116241116,113.64788550425553,50.314552170922155
876,99.76252598725281,-126.11332850652909,95.5533381601376,32.22000482680423
896,94.54897419326433,-130.41204423985002,91.25462242681667,27.921289093483296
911,87.54163474462457,-132.12949863261753,84.62949863261753,21.296165299284155
926,90.24337129966709,-134.27443271587984,87.39223395078685,24.058900617453475
945,76.81882084522124,-124.31882084522124,76.81882084522124,13.485487511887868
957,83.57418329596833,-128.8063959507338,81.30639595073379,17.973062617400416
974,66.51919605329921,-114.00897109695686,66.50897109695686,3.1756377636234845
994,78.46041508024392,-124.30228799605766,76.80228799605766,13.468954662724286
1006,50.30580494357713,-96.61308971193776,49.11308971193776,-14.22024362139561
1021,50.5362515563831,-56.803388532265785,9.303388532265785,-54.029944801067586
1039,34.14685906791646,-74.12981445571924,26.62981445571924,-36.70351887761413
4907,239.83109675554883,229.85901950439933,209.72096347478845,197.9880767359429
4919,251.12552779907392,235.94517948541701,220.23357264388022,214.39652366594134
4934,232.87503612168206,218.37839743796994,202.0157224053359,196.61663218530768
4949,237.55824616684248,226.20369047178076,207.1945027774684,197.39370884059522
4964,237.50073777363892,225.5282120571287,207.03426311662426,198.03092210418188
4982,238.10380277564795,228.64890487803578,208.08248857651972,195.81053843874642
5002,232.5372592632688,221.34531734805225,202.17996447070337,192.544801296839
5014,206.85395131049873,198.8410667968164,176.9465558442506,165.40640790665358
5032,197.63032929791765,189.5871905208789,167.65767045843018,157.10801309902075
5047,197.88442061587665,188.21311604325044,167.6113000915507,159.18172064148587
5061,224.9659850932391,200.75676166461193,193.3177194560827,200.75676166461193
5079,256.3828725315111,224.79923237746843,224.79923237746843,224.79923237746843
5614,446.9841484891799,415.5688476758364,415.5688476758364,415.5688476758364
5662,233.79086307937936,103.45999967562591,217.6017494038247,163.86671645811123
5727,322.4514682851836,305.7890873594509,291.5257318244158,283.98429284683925
6020,323.80463505974797,292.2593291741997,292.2593291741997,292.2593291741997
6065,318.0668797099663,293.32026981701455,288.33810664818367,271.91738126914964
6100,407.57949890848454,302.7419105096758,382.04560777611044,347.0086693891792
7278,55.72643654381419,29.90865250278195,29.90865250278195,29.90865250278195
7284,-14.550013795114012,-32.94998620488599,-14.550013795114012,-32.94998620488599
7316,-10.367815284469884,-37.132184715530116,-10.367815284469884,-37.132184715530116
7337,14.181102577382022,-35.77456662548212,-11.725433374517877,-35.77456662548212
7349,14.548364837274965,-43.10631663948834,-4.393683360511659,-43.10631663948834
7367,14.507328108822655,-33.553566412446,-13.946433587553997,-33.553566412446
7381,27.93517170565658,-23.741539122329982,-23.741539122329982,-23.741539122329982
7399,12.284010471884418,-38.438979602593804,-9.061020397406196,-38.438979602593804
7417,23.77352414466897,-28.935303070687837,-18.564696929312163,-28.935303070687837
7430,22.57570853483901,-30.976366401557073,-16.523633598442927,-30.976366401557073
7445,32.624027067297654,-30.630051323045507,-16.869948676954493,-30.630051323045507
7463,27.724580551248113,-30.034518851586256,-17.465481148413744,-30.034518851586256
7481,23.480684638791118,-40.45397526652789,-7.046024733472109,-40.45397526652789
7496,14.111752967806897,-36.107410493564146,-11.392589506435854,-36.107410493564146
7511,24.5854072872704,-27.18063417453618,-20.31936582546382,-27.18063417453618
7529,17.14280804324043,-32.32453714922599,-15.17546285077401,-32.32453714922599
7547,22.56336597716971,-28.10647372769779,-19.39352627230221,-28.10647372769779
7559,22.795594522277682,-27.853319942092185,-19.646680057907815,-27.853319942092185
7577,22.245858155340844,-26.838168013290158,-20.661831986709842,-26.838168013290158
7592,139.77445757974309,131.39312841553993,109.21818622312922,108.78419304159654
7612,170.01043899249515,162.23382558393283,139.8752275320157,132.5828440622111
7626,166.39393456182378,165.33029497027772,137.73132356013687,121.80767630556917
7640,191.96096767058881,192.4989186483776,163.9986110667762,142.71627988539197
7658,175.53616511297608,175.13702080729146,147.1520650898113,129.0252442039815
7675,175.5633548103329,173.03463278039015,146.62606593277624,131.38850690987064
7690,176.0084551501196,174.12618639848387,147.23842132150472,131.06319998046447
7705,175.44280601051904,172.62620555797915,146.4333400860659,131.60315038437932
7723,173.0572327457703,173.27513249856742,144.8159536922377,126.17827371130541
7740,175.7775982162785,173.97599033325952,147.02584050238306,130.77198592920556
7755,175.2982108527927,173.1664370151963,146.45758393709747,130.7167943150703
7773,175.75932580725748,174.25970094512041,147.08525652975578,130.42375634621501
7788,163.0433327141546,159.66436478983468,133.76697588977575,121.57675582286646
7803,181.0591294490437,178.55376883763952,152.18141423444757,136.19449295964964
7819,119.46105127595352,123.35318788116331,91.42102735945063,78.94919715815772
7834,42.28729644058971,17.947405115719075,17.947405115719075,17.947405115719075
7852,2.8693499996750234,2.8693499996750234,2.8693499996750234,2.8693499996750234
7870,19.64331595901258,7.659939864461194,7.659939864461194,7.659939864461194
7889,14.92217765583849,14.593239466085492,14.593239466085492,14.593239466085492
7904,54.154514806553216,31.387238431562533,31.387238431562533,31.387238431562533
7922,12.994785971826161,11.950345435504232,11.950345435504232,11.950345435504232
7938,51.38048970355306,27.618647669258287,27.618647669258287,27.618647669258287
7950,21.538218882740146,16.67742816540806,16.67742816540806,16.67742816540806
7968,43.28477153793415,18.96918655062668,18.96918655062668,18.96918655062668
7986,20.252540923354182,14.58982792578189,14.58982792578189,14.58982792578189
7998,29.102193573741875,12.106226584761032,12.106226584761032,12.106226584761032
8016,33.962602988010275,15.647667846075137,15.647667846075137,15.647667846075137
8034,29.295752828170112,15.949282999070363,15.949282999070363,15.949282999070363
8048,16.903619355209294,12.612446680579808,12.612446680579808,12.612446680579808
8065,28.223022739387844,15.418307367202317,15.418307367202317,15.418307367202317
8083,36.059786576772666,22.41983777489861,22.41983777489861,22.41983777489861
8095,27.94581210868375,13.538198758349097,13.538198758349097,13.538198758349097
8113,12.203620631086372,11.741454198453027,11.741454198453027,11.741454198453027
8131,54.97880941814504,24.16269282028738,24.16269282028738,24.16269282028738
8146,155.05880254695117,147.5938686442512,124.83623156044796,119.73738772737043
8160,184.9610141313122,169.52068552043272,153.7920068253451,154.56730098313434
8178,369.8063759512591,283.50204659607414,343.3306410880826,311.661909756997
8210,234.08745548524885,103.57000008400776,217.89412027358463,164.1638047975928
8418,253.1340675132606,221.52709487607777,221.52709487607777,221.52709487607777
8451,315.66719962449605,284.0042425450739,284.0042425450739,284.0042425450739
8488,594.584093494744,562.9174838483227,562.9174838483227,562.9174838483227
8503,637.6023337561069,606.0006447096325,606.0006447096325,606.0006447096325
8568,291.49590170352224,193.49496261536493,268.1291771002914,228.08282791658806
8679,444.32958225834057,422.2422027134783,412.9536470223661,408.9088832684382
